"","x"
"478","@lonsdale26 @MartynFord5 @LadyMuckStyle @Anna_Soubry @spelmanc @TheIndGroup @YvetteCooperMP @NHSforPV There is actual proof in that thread of the negative impact that Brexit is already having on the UK car industry.

But if it's too much reading I will summarise for you https://t.co/s5zwl1jaO1"
"479","Looking forward to #FMQs and to see what the @ScotTories can talk about that’s not brexit. What we doing today @Carlaw4Eastwood ? 

Car Parks? 
Reserved Matters?
Squirrels?"
"480","@Pork_Nocker Yup. Him and the other ERG liers. 
As the car workers, fishermen and other conned people are about to find out. Who do you think are going to riot if #brexit happens?"
"481","@brexit_sham @AlsoTigger Beautiful speech occasionally interrupted by a British traitor. 
All car workers and associated companies should consider themselves under notice.
They voted to make themselves redundant. Well done.."
"482","@TheHubScot Brexit is like Yellow Car - it *never* ends."
"483","@brexit_sham @bobbysmiff Got to admit .@LBC Eddie absolutely tore .@trussliz apart here ... that was a car crash interview ... tory mentality don’t do what we do, do what we say"
"484","At opposite ends of the superlative spectrum - brilliant interviewing from @eddiemair and, an absolute car crash from @trussliz who clearly doesn't like being asked questions of her party's policies.

https://t.co/P4F0m5rarJ"
"485","Congratulations @MarshallMotorGp &amp; @MarshallGroup on record-breaking results, despite uncertainty. Proving that a little imagination, courage and also diversifying to meet current market trends, anything is possible. #MarshallMoments #Brexit #Automotive #Dealership #NewCar #Cars"
"486","Our events bring unprecedented dealer benefits and high return on investment, unlike the traditional #carplacement We can work together to future proof car buying, no matter the outcome in the following days and weeks. #Brexit #Dealership #Dealerships #Automotive #tariffs #NewCar https://t.co/r0C5aeRjg4"
"487","@JohnJMcGrane at #NRFConf""..it means there is a local hurling team which means people want to live there.. people buy a car every few years which means they insure it with the local broker. This is the impact on Brexit and any potential tariffs on Food &amp; Agri business"". #rplus"
"488","Imagine you walk into a car dealership and announce

 ‘I’m not leaving this dealership without a car!’

Imagine the terrible deal you would get.

That’s what parliament have just done to the UK. 

They did it on purpose, they want to stop Brexit.

#BrexitBetrayal #Parliament"
"489","Caroline Lucas on talk radio doing her best “ it’s not my fault “ routine again laying out options for remain or remain!  No fecking wonder the country has not been able to conclude Brexit !! Parliament auto pilot stuck on course for Brussels!"
"490","What a load of bullshit ... nothing to do with Brexit... scare fucking mongers he stole the car  insurance scam<U+0001F621>.     'Brexit's first victim' bought £10,000 BMW then failed to make single repayment - Mirror Online https://t.co/hOshGsInZs"
"491","@AvengingLiberal 3/ her voice &amp; I really felt sorry for her - clearly unwell. Govt said yesterday what the tariffs will be with a ""No deal"" Brexit; eg. - extra £1,500 on a car imported from EU! Why are we putting up with this c**p? Let's please have confirmatory ref that UK really wants this c**p"
"492","What is a car insurance ‘green card’ and will you need one post-Brexit? https://t.co/Yhp7mQ0G3J"
"493","@the_plymothian @darrengrimes_ Your just finding easy excuses. Nobody did any work before hand into how brexit would work in practical terms so it's been a mess. If everyone had said ok then, it still would have been a mess. Northern Ireland and the car industry would still be tough issues."
"494","""The EU have to give us a good deal, the German car industry won't stand for it if they can't sell us cars"" said every brexiteer in 2016. They didn't give us a deal did they. They were wrong. 

#BrexitVote
#Brexit"
"495","""Making the whole outside of the vehicle the power source will greatly expand the storage, implying that travel distances can be hugely increased before re-charging."" ~ @DriveWrite. #EV #ElectricVehicles #Brexit https://t.co/GCk5MOdo73"
"496","""Making the whole outside of the vehicle the power source will greatly expand the storage, implying that travel distances can be hugely increased before re-charging."" ~ @DriveWrite. #EV #ElectricVehicles #Brexit https://t.co/GCk5MOdo73"
"497","""Despite the impact of #Brexit, the automotive industry continues to innovate."" https://t.co/GP7U8H6gFd https://t.co/KlBt8Ci5y2"
"498","""Making the whole outside of the vehicle the power source will greatly expand the storage, implying that travel distances can be hugely increased before re-charging."" ~ @DriveWrite. #EV #ElectricVehicles #Brexit https://t.co/GCk5MOdo73"
"499","Took my car in for Mot today to my local VW garage which covers a very large area but could not find  a parking space anywhere. Every available space taken up, apparently they are stockpiling because of Brexit."
"500","@DavidAstinWalsh None of my British friends quite know, other than “we’re f*cked no matter what happens this week.”

As an example: 7 of the 10 Formula 1 teams base in the UK, and they’re worried that Brexit will disrupt weekly travel and car updates between factory &amp; track, but no idea how."
"501","What Brexit might mean to car rental...We have had a lot of customers asking us what they need if Brexit happens. Although everything is up in the air at the moment below is information from the government:
https://t.co/6NLqFgte4k #carrental #carhire #brexit #drivinglicence https://t.co/YK4A5s6CD5"
"502","- get a job that can only exist up to the brexit vote
- buy car you can't afford
- don't make payments
- ""Victim""
Proper cunt more like
https://t.co/RTRxtwdIi0"
"503","Still wondering what he guys on the vehicle were up to. Looked like they were cruising around Marylebone’s embassies on a shabby lawn mower...which is in itself a pretty decent metaphor for Brexit if I may say so."
"504","Interesting choice for auto-correct #Brexit https://t.co/kslde2LRkL"
"505","cling, CLANG, BANG, DONG, clong, screeeeee. All noises my car made while driving my kids to school this morning. Turns out I've a busted offside coil. Not only am I going to get fleeced by the dealer but I had to walk 3 miles home in the pishing rain. F*cking brexit."
"506","Brexit myths in the automotive sector https://t.co/V0tUsyI8Sk"
"507","Ford fears double hit from no-deal Brexit tariffs: Ford says it will be hit twice by UK tariffs in the event of a no-deal Brexit as it exports engines to car plants in mainland Europe and then imports the finished cars back to… https://t.co/HPYsC1hsxr #Cars #Autos #Automotive https://t.co/T3gB0P9nbK"
"508","Tesla Didn’t Tell Its Employees It Was Going to Start Closing Stores: Surprising Tesla cuts, Carlos Ghosn is one step closer to fresh air, mobility might suck, Brexit could push Mini out of the UK, and more in The Morning Shift… https://t.co/3yJ0bd8Zes #Cars #Autos #Automotive https://t.co/O18HdWU4qg"
"509","@ecg1888 Brexit? Son 11 said - surely if you say you’re walking away from a deal, say you’re buying a car, they’ll offer you a better deal!? I thought that’s how negotiations worked too!"
"510","'No one should be surprised that the nation’s politics now resemble a car crash.'
#Brexit #EU2018AT #FundamentalRights #TheHague #RO2019EU https://t.co/d10Sp9f1fj via @financialtimes"
"511","#Brexit #negotiations, it's all a bit like walking into a car showroom but you can't leave until you buy a car, I think. What leverage do you have over the salesperson? #batna also has to include 'no deal'."
"512","Tune in tonight for another episode of Brexit - the Car Crash"
"513","UK automotive industry puts the record straight on ‘no deal’ Brexit impact, as Parliament debates the meaningful vote #BrexitMayhem #BrexitChaos #ThursdayThoughts https://t.co/fFDO2kKkQy"
"514","""The bodyshops are less likely to negotiate discounts or enhanced rates and will potentially cost the insurers a greater premium to repair vehicles in the long run""

https://t.co/I1eFmtbKnN"
"515","@DHORCHI100 @adampayne26 RR52 following @adampayne26 excellent article yesterday on likely #brexit outcomes for motorists and car repairs, do you think if parts supply dries up there'll be increase in stolen vehicle parts sold on internet? @AXADavidW @w55ksy @peterstopcrime @KateGoodwin2018"
"516","If you need any more proof that the conventional news outlets are not reporting the Real news, see below. Thnk you @MetroUKNews 
#WorkToRule
https://t.co/ozSTkZPCL8"
"517","Minutes of a meeting seen by @adampayne26 @businesinsider reveal to pospect of wholesale business closures &amp; job losses in the motor industry unless action is taken, NOW!
@Petercampbell1 @disurpt @stephbreakfast
 https://t.co/bxTw2KselL https://t.co/uFWWGcObIF"
"518","More information on the potential issues body repairs are facing.
https://t.co/oHCAqBKtIv

A good start from @NBRA_ORG well done. Do we have any idea of outcomes &amp; timesscales from that good meeting?"
"519","We've been consistent about the Real &amp; dire threat repairers face.
We've been ignored, thx @abpclub @ABI_Comms &amp; dimissed as ""keyboard warriors scare mongering"" @AXADavidW 
Here is the reality. https://t.co/bxTw2KselL
In. Black. And. White.
@bodyshopmag @AMchatter @KatieMorley_ https://t.co/3R7uhOvAhr"
"520","Not seeing @abpclub calling for action. If anything they seem to be pouring cold water today on @NBRA_ORG Brexit Summit conclusions by saying car parts tariffs will be unaffected by #NoDealBrexit @w55ksy @KateGoodwin2018 @ChrisVizion @AXADavidW @MoringRuth https://t.co/GraqmiRjbm"
"521","Dear Adam @adampayne26 from @businessinsider meet David from Axa Insurance @AXADavidW 
David can always be relied on for his honest &amp; forthright opinions. https://t.co/bxTw2KselL https://t.co/zCuLml8IwM"
"522","More Real coverage of the Real facts. 
Thank you @AutoExpress thank you very much.
Would you like to know why body repairers are currently on a selected Work To Rule? @MotorclaimGuru @NBRA_ORG https://t.co/zaQ4bHPRca"
"523","Real News from Real Repairers. Thank @TheWeekUK for highlighting this. Do you guys want to find out why fed-up businesses are on a Work To Rule too?
@MotorclaimGuru @NBRA_ORG https://t.co/kHoLhSMlbQ"
"524","""Eat this warm nugget of my shit, or I drive this car off the cliff.""
""No.""

""We are quite a bit closer to the cliff now and I'm not going to use the breaks, so, eat this warm nugget of my shit.""
""No...""

""Right, we are almost at the cliff now....""

#Brexit #BrexitMayhem"
"525","Has Brexit allowed a number of non-entities to have their 15 minutes of fame? Grey people in H of C pontificating People on tv pontificating Some journalists waffling on It really has been a vehicle for those 15 mins! Majority of people with raised profiles I’d never heard of b4!"
"526","@trussliz Jeez!! What an epic car crash this interview was. If only you could turn back time hey?? “Nobody has changed their mind... oh hang on.... oh yes I have” WTF!!!

https://t.co/4h3kVMV11N"
"527","@YouEngage @jonlis1 @Britanniacomms Scaremongering like the latest @DExEUgov reports?
Like the £1T (Trillion) that has already 'left' the UK?
Like the entire auto industry moving out?
Like the fact that #Brexit has already lost the FTSE index more than our entire 45yrs EU contributions? https://t.co/msA6SE3Nby"
"528","States warn of post-Brexit changes to EU driving #Guernsey
If you are planning to drive in Europe you should be aware of some post-Brexit changes.

Driver and Vehicle... https://t.co/IhvOqQtbr1"
"529","@JamesCleverly Or they recognise the Tory handling of Brexit was a complete car crash?"
"530","3. - Johnson will go for a 'Canada plus hard brexit' which will result in a significant hit to our economy and wil hit many manufacturing industries hard (refer Patrick ""car industry will go"" Minford)."
"531","@GissiSim It will now take a Unanimous Vote by all 27 other EU members to extend Brexit.

*And I wouldn't ever bet against EU dysfunction.
  If EU was properly run instead of being a thinly disguised vehicle of German Industrial Policy, Brexit may not have happened in the 1st place."
"532","As the #fleet sector waits for a response to the recent review into the impact of #WLTP on Vehicle Excise Duty and company car tax, the BVRLA is urging the industry to keep-up the momentum on #tax reform. #LetsTalkTax https://t.co/R9cPTchotG https://t.co/L1cLLVeQTy"
"533","We've published #Brexit guidance to support #BVRLAmembers wanting advice for customers who are planning on taking a vehicle abroad: https://t.co/HvHaqJoh7C https://t.co/yuzdmy439M"
"534","#MarkFrancois is a car crash for #Brexit 
All penguins are birds Mark, but all birds are not penguins!
#Remainers must love him. Every TV appearance is another dagger into #Leavers"
"535","#Brexit blues cloud Geneva car show https://t.co/rkQwPv7Wph"
"536","ICYMI: #Brexit blues cloud Geneva car show https://t.co/YEH2AvaJvL"
"537","#Brexit casts shadow over stands at Geneva car show https://t.co/r4QG9SXki2"
"538","Classic car industry fears Trump and Brexit roadblock https://t.co/2m1Yx2nMYQ #news https://t.co/mXPCSkxZtO"
"539","Car investment slumps on Brexit 'red alert' https://t.co/N5JozudY1g #news https://t.co/hcuwY670ua"
"540","BMW says Mini output will still be disrupted if Brexit delayed https://t.co/TwNuRuJzYv https://t.co/rxPYPwDDVq"
"541","Ford fears double hit from no-deal Brexit tariffs https://t.co/BiKvEylIHU https://t.co/2im2rfj5Hs"
"542","Farage drove Brexit Car as soon as it was achieved he exited the Brexit car and it on went driverless down hill until it ended up written off in a ditch. https://t.co/6OdVyhjuSk"
"543","@EdTweets92 'There will be no downsides to Brexit'. 'They need us more than we need them'.
'The German car industry won't let no deal happen'.
'It will be the easiest negotiation in history'.
'The Irish border will not be an issue.'

That's just a few. I could literally list 100s."
"544","@Kehoe_colin99 @joannem94981348 @PappaMike2 @hilarybennmp @LeaveEUOfficial its an analogy that compares lack of assertiveness, misplaced trust in buying a car with lack  assertiveness  and lemming like gullible sacrifice in misplaced trust of the EU over Brexit Ducky. i.e. not actually about the car"
"545","@sunick51 yeah, unfortunately the leave voters with a brain and the ability to think will be voting remain now that they can see the damage leave is causing. They can already see jobs leaving  #brexit voters have trashed the UK car industry and we wont get that back for a decade."
"546","Theresa May is some kind of Terminator, emerging from every car crash and explosion with bits hanging off her, undeflected from her mission to kill us with #Brexit.
#Brexinator"
"547","@brexit
Bremain!
Changing your mind when you’ve been wrong is most admirable.
Join, lead the flow on the right side – in your sovereign vehicle – dont struggle in the opposite direction. Borders belong to cowards, openness is for the brave!
Help Make Europe Sane, in one peace."
"548","@LeftieStats Trying to get an election while Brexit is literally days away is like holding a vote about who is going to drive the car while sitting on the railway tracks watching an Intercity coming towards you at 125 mph. Just get whoever is in the driving seat to drive off the tracks..."
"549","@Gazza41 @375hInfo @robhwilliamson @certual @MattAdkin @David_Vaporium @rossmcf1 @SonumRisus @brianbloop @jon_mumford1982 @mac_puck @tolethorpe @NickStevenson63 @The_Leaver @srcoxlive @Davidmetroland @nicko00127 @fccologne4eva @PostTruthPaul @Ciolfilicious1 @Barry4EU @nospin_43 @EmilTschepp @Holdstk @Roblev0 @JohnSydenham @Andywilds1 @sunick51 @JamesWalon @MartinRemains @markpalexander @grahampointer72 @AlbertoThomas @jetjag100 @ThisIsCromulent @JulietMEvans @JCollinsLondon @Chromeman98 @ticketsjaved @sean446789 @jojojoheeley @PandaScottish @jeremythomas212 @AllanDoodes @MarkInNorthWest @xtremedoda @ReplabJohn @CarolineTiley1 @Bull_Spotter @JohnnyM10907987 It's not our car industry, the Japanese were going anyway courtesy of the EU Japan fta, the only car industry job losses connected to brexit are possibly mini. Yes we already trade with the rest of the a lot more so than the EU, so should we not tailor or fta's to suit?"
"550","@srcoxlive @cjcvo @EyeEdinburgh @NickStevenson63 @touchedinhead @sunick51 @EmilTschepp @Ciolfilicious1 @brianbloop @Davidmetroland @jaypwright @David_Vaporium @Andywilds1 @JamesNNorm @tolethorpe @itsapointofview @nicko00127 @Holdstk @Roblev0 @cottageireland @timo_takkinen @ONEnTWOnFREEDOM @fusilier50 @PostTruthPaul @AlanEngland4 @jamesvanwilson @ticketsjaved @Itisallacademic @gerald_gouriet @BILDERBERG_GP @mirandoch @fccologne4eva @fascinatorfun @mac_puck @jetjag100 @jeremythomas212 @hamster_hami @blueunicornmoon @k3books @brianw44 @Nealb2010 @noneedforgreed @leweisnlied @brexit_politics @MartinRemains @Jim_Cornelius @forster_keith @JohnRod76512584 @susanstanwix @PJA1066 The car industry in the UK died when rover was given to BMW for a pound and then asset stripped."
"551","Classic car industry fears Trump and Brexit roadblock https://t.co/6H4QW8Wfs2 https://t.co/N1QIW6VBAf"
"552","Classic car industry fears Trump and Brexit roadblock https://t.co/bcGiqIcE11 https://t.co/FAaMa7PzOi"
"553","Classic car industry fears Trump and Brexit roadblock https://t.co/rUSXvGJh0i https://t.co/3sOs8C5FHI"
"554","No-deal Brexit tariffs are revealed: Car prices would rocket by up to £1,500 https://t.co/YO64fhZgLM https://t.co/SmUV19Icu4"
"555","@_PaulHayward Played Brexit phone-in bingo in the car last night. ‘I don’t understand what’s taking so long/Get on with it/What’s the worst that could happen?’ all gone in the first five minutes."
"556","Classic car industry fears Trump and Brexit roadblock https://t.co/mPWBjZYFTp https://t.co/m4Y8qNwIl1"
"557","No-deal Brexit tariffs are revealed: Car prices would rocket by up to £1,500 https://t.co/drlyKttC6H https://t.co/zrLOekeJyb"
"558","UK #automotive have consistently called for no-deal to be taken off the table. The threat of no-deal is costing auto huge amounts on a daily basis, with companies enacting expensive contingency plans &amp; the best case scenario being that the money is wasted. 
#Brexit @LaylaMoran https://t.co/IKeqmZra6c"
"559","@SMMT statement following last night’s #Brexit votes.

#Automotive https://t.co/3Vab04fKUq"
"560","@f505eb72b9cd493 @375hInfo @robhwilliamson @certual @MattAdkin @David_Vaporium @rossmcf1 @SonumRisus @brianbloop @jon_mumford1982 @mac_puck @tolethorpe @NickStevenson63 @The_Leaver @srcoxlive @Davidmetroland @nicko00127 @fccologne4eva @PostTruthPaul @Ciolfilicious1 @Barry4EU @nospin_43 @EmilTschepp @Holdstk @Roblev0 @JohnSydenham @Andywilds1 @sunick51 @JamesWalon @MartinRemains @markpalexander @grahampointer72 @AlbertoThomas @jetjag100 @ThisIsCromulent @JulietMEvans @JCollinsLondon @Chromeman98 @ticketsjaved @sean446789 @jojojoheeley @PandaScottish @jeremythomas212 @AllanDoodes @MarkInNorthWest @xtremedoda @ReplabJohn @CarolineTiley1 @Bull_Spotter @JohnnyM10907987 1. We haven’t left yet ( but most of the car industry has). 2. We already trade with the world so... and 3. My job is pretty secure with or without Brexit. Parliament is trying to save everyone’s jobs, including yours whether you voted for Brexit or not."
"561","@MarkInNorthWest @certual @375hInfo @robhwilliamson @MattAdkin @David_Vaporium @rossmcf1 @SonumRisus @brianbloop @jon_mumford1982 @mac_puck @tolethorpe @NickStevenson63 @The_Leaver @srcoxlive @Davidmetroland @nicko00127 @fccologne4eva @PostTruthPaul @Ciolfilicious1 @Barry4EU @nospin_43 @EmilTschepp @Holdstk @Roblev0 @f505eb72b9cd493 @JohnSydenham @Andywilds1 @sunick51 @JamesWalon @MartinRemains @markpalexander @grahampointer72 @AlbertoThomas @jetjag100 @ThisIsCromulent @JulietMEvans @JCollinsLondon @Chromeman98 @ticketsjaved @sean446789 @jojojoheeley @PandaScottish @jeremythomas212 @AllanDoodes @xtremedoda @ReplabJohn @CarolineTiley1 @Bull_Spotter @JohnnyM10907987 They tried the ‘no confidence’ vote before, remember? ERG lost and their version of Brexit too. The Eurosceptic part of the Tory party is shrinking on a daily basis. No-one ( including the German car industry) are coming to save Brexit. It’s dead. Move on."
"562","Autocar confidential: JLR could benefit from Brexit, Audi won't extend range forever and more... https://t.co/YfC0tgYlUz https://t.co/5mx99DjZ6f"
"563","Classic car industry fears Trump and Brexit roadblock https://t.co/4FjIFGasfC https://t.co/rJOZmMLHkn"
"564","""Brexit's first victim"" says the headline.  I see a guy who couldn't make car repayments.

Absolutely down to Brexit, the next door cat shit in my garden this morning.

https://t.co/Sp6MEX0hA2"
"565","Classic car industry fears Trump and Brexit roadblock - https://t.co/ip4BelPWjr https://t.co/FriCloYLvd"
"566","Brexit analogy 1 million+ 1 - 
If you try to trade in your car but get offered a bad deal, you walk away and keep your car. You also don’t go and scrap your car and just walk instead.
#RevokeA50Now"
"567","MV3 sounds like a new car model but when you open up the bonnet you discover it is a toxic diesel engine which will only continue to pollute the environment #brexit https://t.co/XEG2xz25hr"
"568","#BBC #News - #Classic #car industry fears #Trump and #Brexit roadblock https://t.co/j2cLhMQyT3"
"569","@elonmusk The Nissan car Plant in the UK could be up for grabs Elon.. Britains “post  Brexit” tariffs are favourable.. Oiler’s we be seeing a Tesla factory here in Britain any time soon??"
"570","Liz Truss the car crash queen of the Tory Destruction Derby, incredible | No screenwriter could present such a script | #brexit @eddiemair https://t.co/ALGIfqFMdM"
"571","My wife, who is thinking of buying a new car manufactured in the EU, has just asked the dealer for guidance about what would happen in the case of a hard Brexit. He read from official guidance that she would get her money back ""without charge"". She has decided to wait!"
"572","#News Classic car industry fears Trump and Brexit roadblock #BreakingNews #bbcnews https://t.co/wcHiwSiqFb https://t.co/LW2WzMzTNe"
"573","The single consolation of finding yourself overworked, stressed, and worried about a dozen things you can't change whilst scooping up handfuls of your child's vomit from a car seat on a Thursday morning is that I didn't once think about the utter shitshow that is brexit."
"574","Unfortunately “Time for the Electric car?” has had to be rescheduled due to RTÉ’s coverage of Brexit Tuesday evening. Once we know when it will be aired we will let you all know! Thank you. https://t.co/b6WsHsApIu"
"575","@eucopresident We've changed our minds we want you to own our Government, Banks, Army &amp; Our lives on rent from our house, car to even our Zero hour jobs

Obliterate the nation states &amp; we'll all bow down to #Brussels

The #Europe #Hitler wanted

#Brexit
#nodeal
#NoTaxationWithoutRepresentation https://t.co/0QxjdJnhRN"
"576","No Deal Brexit tariffs REVEALED as UK confirms car prices would rocket by £1,500 - Mirror Online https://t.co/bwERiZSZpI https://t.co/dIfFtiRRQ5"
"577","Car prices to rise by £1,500 as no-deal Brexit tariffs are revealed - Wales Online https://t.co/ZwPbuVU6sY https://t.co/TvmzPQcXqJ"
"578","@nigelmp There is no such thing as a people’s Brexit. Did people really vote to see the destruction of the UK car industry? Of a threat to peace in NI? Brexit will leave this country at the mercy of larger countries like US, China, India, etc so much for taking back control! #RevokeA50"
"579","Classic car industry fears Trump and Brexit roadblock https://t.co/0sOBgt2Y9U"
"580","@MayorofLondon @SebDance Think @theresa_may has other ideas and with @UKLabour facilitating her, real danger of her deal getting voted through. History and voters will never forgive both parties for this car crash of politics. #Brexit"
"581","Why does this picture bring back horrible memories of car production at Longbridge. Megaphone diplomacy did not work then. Do union members want to return to the 70s. It was not fun. #Brexit https://t.co/bQ3r9WMdM4"
"582","@EdgarasMasc @Yorkieexpat @T_Stanislawski @eucopresident The fantasy of Brexit sold to voters is far removed from the reality. 

If a salesman sold you a Ferrari then handed you the keys to a Skoda then the courts would allow you to keep the car or reject the car.

We should be given a choice as this not what was promised

This is the"
"583","Under the UK's no deal #Brexit plan a return to the days of smuggling would be very likely. Nothing to stop one from buying a car in Ireland, driving it across the border into NI before shipping it over to Scotland, bypassing a 10.6% tariff on vehicles.
https://t.co/fYdgXwmqUm"
"584","@campaignkate Mine got involved in my case and wrote to Simon Stevens, he didn’t bother to reply to her. After a while she seemed to lose interest. I contacted her again the other day and just got an auto reply. 15 days to Brexit is the problem."
"585","The truth behind 13 automotive Brexit myths 
#Brexit #Automotive #Engineering  https://t.co/sYgAocSqQv https://t.co/GxsfNmMSIQ"
"586","Give me strength! Tory MP Nigel Evans compares #Brexit to buying a car. But if you walk away from buying a car you revert to the status quo; you've still got your old car. Walk away from EU and you default to no car &amp; chaos. 
Thick as mince. #5live @BBC5live #BrexitMayhem"
"587","Classic car industry fears Trump and Brexit roadblock https://t.co/YDBWOJgtIe"
"588","I'm heading out to film a video for @eagleradio with @greerstorm. We'll probably be talking #BREXIT in the car on the way there! https://t.co/43J5htBvqw"
"589","@RichardDawkins The whole Brexit debacle has done more harm than good. Might as well remain now to salvage what is still left. It's history repeating itself. In the 70's and 80's the British fucked up their own car industry and now they have fucked up this as well"
"590","@NickMilnerPhoto Nick, you're a sensible chap. I'm sure that in reality you understand the difference between haggling over the price of a car and the Brexit negotiations."
"591","@greg_wilson_1 no, that is supposed to be the parody angle. Do I really have to explain that?

Car companies in Britain are very much doing a lot of things related to Brexit. But elsewhere (where there is no Brexit) there are still commercial decisions to be taken - for a variety of reasons."
"592","BBC News - Classic car industry fears Trump and Brexit roadblock https://t.co/f9s9D7Xovt"
"593","Britains new car buyers delaying purchasing their next vehicle by 2 or more years, with Brexit cited as the primary reason https://t.co/a0PqIIl4VJ"
"594","Brexit deal or no-deal, British motorists will probably require a Green Card to drive in the EU https://t.co/R9r8vQKYGH"
"595","From https://t.co/oOybKV998U | UK Auto industry seeks to bust Brexit myths https://t.co/J65vN1koM0"
"596","Classic car industry fears Trump and Brexit roadblock https://t.co/AarvFmZ9hw Read the latest BBC Global Trade story #BBCGlobalTrade https://t.co/RFYSHtKuLc"
"597","Britain's new car buyers delaying purchasing their next vehicle by 2 or more years, with Brexit cited as the primary reason https://t.co/4oUcMzHrWh"
"598","Brexit deal or no-deal, British motorists will probably require a Green Card to drive in the EU https://t.co/dt29uYbrF4"
"599","Brexit: Car industry urges MPs to take ‘no deal’ off the table https://t.co/xBby8nB6Yp"
"600","These are all firms that employ hundreds of people. The uncertainty is killing them. Even when  we arrangements are in place it could kill them. It isn’t just the car companies we need to worry about. https://t.co/1rYKDypjxh https://t.co/xD6T862YQo"
"601","@APHClarkson More time to allow UK businesses to migrate, car industry to tidy up with little prospect of any beneficial Brexit agreement. A new negotiating crew? More fannying about?
UK consensus, huh."
"602","@fccologne4eva but it does just show that the car companies arent actually doing what they are cos of brexit, but was pushed like it was by remainers
anywaaaaaay....
hehehe"
"603","@piersmorgan @astonmartin And no mention of blaming Brexit for anything from @astonmartin either. Proper car company <U+0001F44F><U+0001F44F>"
"604","Insight: UK's 'no-deal' import tariff cuts add to confusion
https://t.co/g2LMrjJDYE
#eurometal #nodeal #Brexit #NoDealBrexit #steel #automotive #ukautomotive https://t.co/skkB0589I9"
"605","@Audi_Press @AudiUKCare What I’m really concerned about is I ordered my new car in early July 2018 and I still don’t have a delivery date with brexit I’m worried about having to pay a significant surcharge - so yes please TIA"
"606","The government has announced that most imports into the UK would not attract a #tariff in the event of a no-deal #Brexit. Providing some protection to certain sectors including the #automotive industry. https://t.co/NS2w97K5Ij"
"607","@KipperBedwas @Tonyynot666 Bullshit - you wouldn’t buy a car and tell the seller you are not prepared to walk away if the deal is not right but we have told the EU that. This is not about democracy it’s about thwarting Brexit, you are either a fool or think I am and I can assure you I am no fool."
"608","BBC News - Classic car industry fears Trump and Brexit roadblock https://t.co/mqPAjKsVzx

#classiccars #Brexit #cars #carinsurance #brokers #classiccarinsurance"
"609","I know that they are having really heated discussions in the parliament in UK about Brexit. Major car makers from Japan are leaving the nation. Why did they choose to say goodbye to EU? Voted NOT against it in the referendum? Why and why?"
"610","New research from workforce management experts found that employers in the UK’s logistics sector expect to lose, on average, 21% of their blue-collar workforce as a result of the UK’s departure from the EU: https://t.co/NYit60C6Ic"
"611","New research from workforce management experts found that employers in the UK’s logistics sector expect to lose, on average, 21% of their blue-collar workforce as a result of the UK’s departure from the EU: https://t.co/NYit60C6Ic"
"612","New research from workforce management experts found that employers in the UK’s logistics sector expect to lose, on average, 21% of their blue-collar workforce as a result of the UK’s departure from the EU: https://t.co/NYit60C6Ic"
"613","New research from workforce management experts found that employers in the UK’s logistics sector expect to lose, on average, 21% of their blue-collar workforce as a result of the UK’s departure from the EU: https://t.co/NYit60C6Ic"
"614","Classic car industry fears Trump and Brexit roadblock https://t.co/zrQMC6Q4kV"
"615","AHA!!!
There are Fun and Amazing facts about many things,especially things we do not know about one of those things we do not talk about often,one of which will be racing, Car racing ,bike racing etc. 1/5
#Messi #iKON #iKON #ThursdayMotivation #whatsappdown #Brexit https://t.co/JnxfqfGd7A"
"616","Asian markets sink but pound edges up ahead of new Brexit vote https://t.co/Hd95UVsVkg :Auto pickup by wikyou"
"617","MPs reject &amp;#39;no-deal&amp;#39; Brexit https://t.co/ywRQVyAcVa :Auto pickup by wikyou"
"618","Stockpiling helps shore up UK economy ahead of Brexit https://t.co/58rtaM03GW :Auto pickup by wikyou"
"619","The Latest: Dutch showcase post-Brexit online customs forms https://t.co/enW3QB9Kz7 :Auto pickup by wikyou"
"620","Sterling edges down after Brexit rally, Asia markets mixed https://t.co/NusbReP8TB :Auto pickup by wikyou"
"621","The Latest: EU says UK vote makes no-deal Brexit more likely https://t.co/Kf98Hw3rD6 :Auto pickup by wikyou"
"622","UK's May implores EU to help her win backing for Brexit deal https://t.co/wRUXQ5vS9T :Auto pickup by wikyou"
"623","British MPs resoundingly reject Brexit deal for second time https://t.co/DYT0uO7UNH :Auto pickup by wikyou"
"624","Endgame: UK's May aims to avert looming Brexit deal defeat https://t.co/RgWc4WqH7a :Auto pickup by wikyou"
"625","The Latest: Brexit: UK won't impose border checks in Ireland https://t.co/enW3QB9Kz7 :Auto pickup by wikyou"
"626","The car industry (12% of a British exports) is going to been killed by Brexit. 
186.000 jobs + hundred thousands of related jobs.
- Landrover to Slovakia
- Honda, Nissan deinvest
- BMW move out Mini production
- Vauxhall announced job cuts
Happy Brexit! <U+0001F60B>"
"627","Geneva car show: BMW considering closing Mini factory after Brexit.  4500 jobs on risk.
All Car makers worried about Brexit.
https://t.co/3m9T3awSUn"
"628","Geneva car show.
Vauxhall owner PSA ""A no deal Brexit outcome is a disaster!"".
Investments already hold on Vauxhall operations.
https://t.co/y4jRb2dkV0"
"629","@netmarketer360 @LeaveEUOfficial I forgot one thing...
Beside the tarifs adder the GBP will further weaken after No Deal Brexit and drive prices for every car import 2-8K£ in average.
Check here to get idea 
https://t.co/EalNJA4uaU"
