,x
1856,"@EstherMcVey1 You clearly have no real faith in Brexit if you're knowingly peddling lies in order to support it.

One day these lies will end your career, and I look forward to that day."
1857,"The UK Hospitality Industry would simply collapse without European workers. #Fact
#Brexit"
1858,"@George_Osborne @Adamstoon1 @EveningStandard How's that £50 BILLION Emergency budget?
800k jobs lost?
Recession ?
No EU Army ?
No unified EU forigne policy?
-4% growth ?
Economic collapse?
When it comes to lying about brexit you're in a league of you own."
1859,"@carolecadwalla What a failure !, He achieved what he set out to achieve.........and set your tail on fire in the process, what career would you have had without Brexit ? ...you can thank Farage for putting bread on your table and feeding your cats."
1860,@UkipND I am not a member of any party I am just telling you that if you care about a real Brexit then it would be a good idea to do your level best to obtain it or are you basically the same as the rest of the politicians only interested in being in Westminster for a career?
1861,"I suppose for a company ""a few bad years"" don't matter. For the children who don't get an education or pensioners not getting a pension if a country has ""a few bad years"" it's a different matter. BBC News - Sir Rocco Forte: 'No point in delaying Brexit'
https://t.co/mZ3pPkjL2V"
1862,"There is no such thing as a good Brexit, we know that it's going to cost jobs, we know that it's going to impact living standards, we know of course that no deal is absolutely disastrous for the people of Scotland #indyref2  https://t.co/gHRolzre97"
1863,@AnthonyGJames @CanaryAndy @TykeAbroad @BBCPolitics @GraceCampbell Lol. Nope nothing to do with Brexit.  The car industry wants just in time supply chains decimated and 10% tariffs on cars. 😂
1864,"Which companies are leaving UK, downsizing or cutting jobs ahead of Brexit? https://t.co/UFNSatfaIt"
1865,UK construction industry contracts on Brexit uncertainty — survey https://t.co/KOW4H0ElDQ
1866,"Which companies are leaving UK, downsizing or cutting jobs ahead of Brexit? https://t.co/UFNSatfaIt"
1867,"Animal welfare standards are lower in USA 
so eggs would be cheaper
and would undercut UK produced eggs
but problems with food hygiene in imported eggs.
It's not just about chlorinated chicken
https://t.co/BPKQSfug6Z"
1868,"#May's tenure in office is hee-haw to do with #Brexit. If she goes, some other nutter will become #PM, but the country will still be up #BrexshitCreek without a paddle. The sooner people in power understand this, the longer they might keep their well-heeled jobs. https://t.co/IGGvFGbDNb"
1869,Fat Sam was defo first in line to vote leave in Brexit....bloody foreigners taking our jobs 🤣 https://t.co/BYA2Pe8mLm
1870,"Safran has been accused of 'turning their back' on the 1,500 Gloucester-based employees, who will no longer be reperesented by the company's EWC in the event of a hard Brexit. 
https://t.co/v5RanlpIlW"
1871,"Absolutely heartbreaking to think any nursery is at risk from Brexit. Horticulture brings in millions of pounds every year, supports employment, leisure and tourism and to see @crugfarmplants so vulnerable is a shock. https://t.co/JDMF0GJkKb"
1872,No-deal Brexit 'could bring return of low-welfare egg imports' https://t.co/KAFOW5xFHn
1873,The Guardian view on workers’ rights: endangered by Brexit https://t.co/jZHkeSCd56
1874,"I cant believe we are almost in the middle of March. Here are the #Traveltrends I have noticed thus far in 2019. 
 https://t.co/UWyHJXpjmE #hotels #hospitality #travel #airbnb #brexit #trends"
1875,Sad. @RoryStewartUK used to have a glittering career ahead of him. #Brexit has stolen that away. #wrongsideofhistory https://t.co/Y9egRH0s6x
1876,"Are you listening to this, @jeremycorbyn, @LenMcCluskey? Stopping Brexit wouldn't just help British workers, it would devastate the Conservative Party. How about campaigning against it? https://t.co/NVy8bJvl2m"
1877,Theresa May accused of ‘empty rhetoric’ on workers’ rights to win support for Brexit deal https://t.co/sFpm3i2knI
1878,"No-deal Brexit 'could bring return of low-welfare egg imports'

https://t.co/RK26vGpnJ9"
1879,"The Guardian view on workers’ rights: endangered by Brexit

https://t.co/z9iJHzLtBc"
1880,"@Oldstanman @RichardRose01 @damocrat @ChukaUmunna Industry collapse and job losses, pension &amp; investments plummet, housing market collapse, food shortages and tariff hikes. It’s the thing of nightmares....once Brexit has been addressed then focus on the tories."
1881,@Kstoya I think technically a jobs first brexit is a remain?
1882,"""jobs first brexit"" just means going to the toilet before voting https://t.co/7kag9PppEf"
1883,"@Independent Do we have any pragmatic MPs these days? They’re so desperate to hang on to their jobs they’ll vote for anything they’re told to, hence brexit."
1884,"@washingtonpost damning on #brexit ""British industry might suffer after Brexit, and British power will be reduced. But the gray zone where politics meets money, where foreign money can become domestic ...will survive. Perhaps that was the point all along."" https://t.co/VGllDNWfNZ"
1885,"Cyber crime: How construction has become a high-risk industry  Construction News

Despite the uncertainty of Brexit, there's a lot to be positive about in 2019 for the construction industry.

https://t.co/PB4V1pylZQ https://t.co/cUmXWm0Rnx"
1886,Keeping supermarket shelves full and food prices down will be one of the biggest challenges faced by retailers in the days after a disorderly Brexit. #brexit #retail #business #success #money #wealth #rich #job #jobs #hiring #investor #investment #UK #ukeconomy #economy https://t.co/HhguIX9RkY
1887,Should we blame BREXIT for this? #car #carindustry #industry #crisis #UK #ukindustry #demand #economy #ukeconomy #brexit #export #import #industrial #stock #stockmarket #stockexchange #swingfieldgroup https://t.co/7gcuk3AwL0
1888,"@thedicemechanic What even is a ‘jobs first brexit’? Sounds like an oxymoron to me, and almost as wanky as a ‘red, white and blue brexit’."
1889,"""British industry might suffer after Brexit, and British power will be reduced. But the gray zone — where politics meets money, where foreign money can become domestic, where assets can be hidden and connections concealed — will survive. Perhaps that was the point all along."" https://t.co/oyt1v7SgvJ"
1890,"Here’s Frog Prince of Brexit and #CountryFuckingLiar @Nigel_Farage  letting us know that they’re going to rub it in the faces of Nissan workers workers in Sunderland, who will inevitably lose their jobs thanks #CountryFuckingBrexit https://t.co/EqDZSQqc1W"
1891,"@Rachael_Swindon Rubbing the faces of those losing their jobs, thanks in large, to his support of a Tory policy in Brexit, is just one of the many repugnant faces of that amoral charlatan."
1892,"@DarrenGarrod And asking them on the view on Brexit is not the way to get - that either ethically or legally. 

See my previous response that the government cannot enforce an ideology or make a decision on a company based on their position of ideology. All the company must demonstrate is..."
1893,"@PaulNewland12 @woofit79 @patanna @PointlessBrexit @InstituteGC I wasn’t aware he was PM for over 4 decades. 

100,000 EU workers, costs less to the exchequer than 100,000 non-EU migrants working here. And before you claim it, don’t be fooled to believe Brexit would ever reduce immigration. 

So yes, your original response was indeed rubbish"
1894,"@Jasonkenny Also what’s been suggested and what I subscribe to is this: if we leave the EU we can revoke many employment law rules that originated in EU law that we have no obligation to enshrine in UK law post-Brexit. These include levels of minimum pay, holiday entitlement etc which..."
1895,@QuijoteMike @talkRADIO @georgegalloway My father was a miner and he looked forward to the end of the industry - it killed people. It killed him.
1896,"@myers1975 @terrychristian Clean beaches, high food standards, frictionless trade that bring hundreds of millions of £££ into the nation every day, filling the coffers of government, wonderful EU nationals with their different languages and cultures, creating job opportunities."
1897,"@velvetsilk @ByDonkeys Yep, they're paid by weight - stuff the product full of water and you make more money. It's bad enough in the EU but in the US, they keep animals alive only just long enough to profit from their flesh or byproducts. Their 'welfare' is controlled by the industry, not government."
1898,"@stubroos @mr__mo @sturdyAlex @IanDunt Particular implications for the meat industry. Most slaughterhouse vets are EU nationals, mainly Spanish. Without their presence, meat cannot be signed off as correctly slaughtered and cannot therefore enter the food chain - massive bottleneck may ensue."
1899,"@CREWcazz @FeelingAntsy @michael53021960 @NickBoles @jessphillips The best summation is Burke: ""Your representative owes you, not his industry only, but his judgment; and he betrays, instead of serving you, if he sacrifices it to your opinion."" https://t.co/VmEnHIfi8z"
1900,"@peskyRussKi @jude5456 The go-slow at the French end is about Brexit. And Brexit has already cost 200,000 jobs in the UK."
1901,"""Pretty soon, our entire economy will be driven by bets on stupid shit @GavinWilliamson can be made to say, in a sector it is hoped will replace the automotive industry."" https://t.co/AtLfe1wUSE"
1902,@ColinCorbynista There is no jobs-first Brexit. All forms of Brexit harm the UK. And I do not understand why Labour is upholding the result of a fraudulent referendum.
1903,"@kisumugran @VeroVero777 @Eddystone506 ""Oh, I didn't mean YOU. Not people like YOU. You know - it's the OTHER ones... You know, the ones who are:
* on benefits
* taking our jobs
* on benefits while taking our jobs
* driving down wages
* driving up prices
* taking up social housing
* [fill in blank as required]"""
1904,"""Let’s be clear: no deal is a situation the head of the Confederation of British Industry called a 'threat to global stability', and which medics have warned will cause thousands of British people to die."" @theresa_may https://t.co/SfsHgVw1oX"
1905,"@oceanbreeze2017 @PhilipHunn1 @YorkshireLad_87 But mention to a Corbynista that the world's greatest social democracies are in the EU or (in the case of Norway) closely affiliated, and they get abusive. One reason I moved to France is that's it's more leftwing than the UK, with better workers rights, stronger unions etc."
1906,"Tories plan to strip holiday pay, workers’ rights, employer pension contributions after Brexit https://t.co/K0FGkSnG50"
1907,@jeremycorbyn How about all the jobs that are fucking off under the brexit you support? Senile prick.
1908,"@darrengrimes_ @AngelaH08745929 If they dare to delay Brexit they will have the biggest shock of their lives in the May elections, it may knock some sense into their tiny brains when they realise it’s their cushy jobs at stake next time."
1909,What you see hear is the death cry of the anti #BREXIT Huge crowds he says! Actually more press than protesters! The deal vote this week will fail by 100 or more votes! And were back to no deal as it should be! The people didn't vote for a deal Close open borders jobs for Brits! https://t.co/o4xcuZ9rli
1910,"@JuliaHB1 @AndyatAston @talkRADIO @astonmartin Be nice to hear some positivity about Brexit rather than the constant negativity we have shoved at us from industry.
Just for once.."
1911,"@LBC @IainDale No, I wouldn't support a no-deal Brexit.  It would be very harmful for British industry, and for future investment in UK plant, machinery, infrastructure and skills."
1912,"@steelys @Nigel_Farage Recession in EU &amp; elsewhere is losing jobs.. 

https://t.co/vkYnN3AsQ1"
1913,"@HD2onPBdotcom Last year, the senior vice-president of Honda Europe warned if the UK left the EU without a deal, it would cost his company tens of millions of pounds Ian howells told the BBC leaving with a no deal Brexit would directly affect the company's competitiveness in the European Market"
1914,"An authoritative analysis from Tom Hayes of @beerg which comprehensively debunks the claim by @theresa_may that the #UK has “led the way” on Workers’ Rights. #brexit #workersrights 

https://t.co/KhRshwPsdL"
1915,"@ComiskeyNathan He could definitely form a government. Was level in the polls a month or two back with employment at record highs. If there's a recession and/or Brexit is a shitshow he could definitely form a government, dangerous to ignore this."
1916,@thesundaytimes I’ve been a civil servant for most of my career - including in the Brexit Department. There is no conspiracy - utter drivel.
1917,"Translation: I live in a northern leave-voting sheep-farming constituency.

Remain would be seen locally as a betrayal. 

A hard brexit would kill the local industry. 

I'm desperately want a workable fudge even if that throws the country under a bus! https://t.co/8ROQAEKBGL"
1918,A careful consideration of the concerns in the recruitment industry due to the uncertainty of Brexit from @RecruitmentBuzz https://t.co/zx9xjvzmJ5
1919,@KungFuMovieGuy @OllieCarter29 @Femi_Sorry Also: https://t.co/URAlMq9wTX
1920,"@KirstySNP @BBCNews @bbcworldservice Hello, I'm an Eastern European immigrant.
I'm not discussing Brexit IRL because I don't want to shout on the top of my lungs at idiots who screwed with my home and industry because they felt that two people speaking Polish outloud in Tesco is somehow the end of the world."
1921,"@CylonNumber7 @agirlcalledlina No, Jamie.
People voted for Brexit because they couldn't take the smell of my ethnic cooking any more.
Also I took all of their jobs."
1922,@antic2000 @dlsgibson @bassguitarrock Well then. One more reason why post-Brexit we'll take all the remaining jobs: at least we can speak English as well...
1923,"Hey, remember how PROJECT FEAR said no planes would fly post Brexit etc? this is what the industry says https://t.co/fu8ep54PK7"
1924,To all those Tory MP’s trying to prevent Brexit &amp; those Labour ones who think the EU protects workers. Today’s El Pías “of temporary workers under the age of 25 in the third quarter of 2018 over the total number of employees” look at how shocking the EU is. https://t.co/LCmqiX4s3p
1925,Tourism industry fears 'no-deal' Brexit will cost it billions - Reuters https://t.co/R02o3CRSPF
1926,"@carolecadwalla A private company warned you that Brexit would have serious consequences. @LenMcCluskey 
But it seems you endorsed Brexit anyway!

Looking out for your members jobs were you?"
1927,"@MichaelH14 @Tpopularfront Plundered the public purse, probably skimmed off the workers pension fund, cash in and retire to somewhere nice before Brexit hits!

Sounds Tory to me!"
1928,"@LBC @IainDale No not at all, the sooner Brexit is cancelled the better, no deal would be a disaster for this country, jobs, companies and all that goes with it, stupid Brexit voters need 2 take the blinkers off, a blue passport made in France, they see that as a bonus though ffs!"
1929,"@davidschneider @NHAparty Shameful really is shameful to see this &amp; the loss of jobs, because of poxy Brexit!"
1930,Very interesting that no one  complains when the yanks  come to live here and take many top jobs in all fields of employment: they get all their healthcare free..I love the ones who've I met ..they enrich our multi cultural society ..but  brexiteers say nowt about it. #brexit
1931,@iancollinsuk Been delivering extra stock all over the U.K. companies seem to be prepared for delays if they come. My company hasn’t even mentioned Brexit let alone what they’ve prepared.
1932,"@EmporersNewC @curiocat13 @PoetTaxiDriver @skisidjames @Jim_Cornelius @DmitryOpines @MrHickmott @donnyc1975 @DavidHenigUK @GeorgeMonbiot @NickCohen4 @MatthewdAncona @andrewrawnsley @faisalislam @mrjamesob @J_amesp @carolecadwalla @peterjukes I think they are leaving to make it more economical to build cars, they already sourced the bulk of parts from outside the EU , declining sales would force any company to streamline, brexit or no brexit"
1933,Brexit — Companies have been forced to spend hundreds of millions of dollars on contingency planning. Others have had to cut jobs or delay expansions or idle production. Some are already giving up on Britain and moving their operations elsewhere. https://t.co/i652zIMlCh
1934,"“British industry might suffer after #Brexit &amp; British power will be reduced. But where politics meets money, where foreign money can become domestic, where assets can be hidden &amp; connections concealed will survive. Perhaps that was the point all along.” https://t.co/EMxe0HfowE"
1935,"Significant comment here.
Most of us see Brexit exposing MPs who regard their position as a 'career', serving their own sense of elitism, knowing 'best', with strong majorities to bolster their stubborn pursuit of perfect outcomes. Party and democracy are just a distraction! https://t.co/cHKvOU5REc"
1936,"@MichelleDewbs The vast majority of people only worry about their jobs. Find an expert who doesn't think jobs will go, if there's a no deal Brexit. Imagine loosing everything because some idiot only cares about getting sovereignty back."
1937,"@PaulHouseK @lordratso @terrifyinglogic @PeteNorth303 If workers vote to go on strike the union will come back and ask them if they want to accept the management’s deal, when it is offered. Yes, of course I want a vote on the deal.  It’s the only democratic thing to do, given the gulf between Brexit expectations and delivery."
1938,"@FBRAK @simian_b @GlenTheEd @MattyBrennan @PoetTaxiDriver @berniespofforth @JamesMelville Our MPs would be totally irresponsible if they allowed a No Deal to go through.
Labour have advocated a ""jobs first Brexit"" from the very start, so that means staying in the CU &amp; SM."
1939,"@andreabennett19 @peoplesvote_uk @JudithCummins It is a Tory Brexit as it will benefit them and their friends at our expense.  Can't trust them with workers rights, etc."
1940,"@ChrisDaley18 @peoplesvote_uk @JudithCummins How can having a vote to confirm what people want be undemocratic?  People won't be getting the Utopian Brexit they were promised so should be given the chance to say if they prefer it or to stay in, as Brexit will cost jobs and make us all poorer."
1941,"@simian_b @FBRAK @GlenTheEd @MattyBrennan @PoetTaxiDriver @berniespofforth @JamesMelville Leave voters were never going to get the Utopian Brexit they were promised as it's an impossibility.  Cutting us off completely would destroy trade, jobs and our economy.  I agree that Remaining in the EU is better than a compromise Brexit."
1942,"@Alvinfisher61 @zibeeb @littleoldmare @paulhowey @gbktas @FbpeReynard @ChukaUmunna @UKLabour @peoplesvote_uk @Anna_Soubry @UKParliament @ConHome @BBC @DavidLammy @peoplesmarch4eu @jeremycorbyn We just want what's best for the people in this country, the economy, jobs, etc.  And Brexit will be really bad for us."
1943,"We'll be joining the Left Bloc on 23rd March, from 11:00 at Grosvenor Square.

There's nothing Left Wing about Brexit; it's a project that destroys jobs, rights and public spending.

Join us and hundreds of thousands of others marching for our futures.

https://t.co/81NvSr42bW https://t.co/WcqMbbqP6K"
1944,"You urge your Labour colleagues to back a Tory Brexit that would reduce public spending by £40Bn, lead to an economy 3.9% smaller and have a detrimental impact on jobs, living standards and rights.

Seriously @CarolineFlintMP, you're campaigning for all the things Labour oppose. https://t.co/JivNjC75nS"
1945,"It appears there's a group of Labour MPs working FOR a Tory Brexit and AGAINST the wishes of Labour voters, Labour members and Party policy.

It's a sellout of Labour aims and values; a shameful campaign for more austerity, fewer jobs and lesser rights.

https://t.co/c0nHWkogXs"
1946,"We're voting it down for a second time and we're still not campaigning for a public vote. Two weeks before we leave and 6 months after Conference.

There's no election, no jobs first Brexit, no time left.

All that exists is broken promises @Keir_Starmer 

https://t.co/sP2rj2O4hB"
1947,"The Stronger Towns Fund represents a tenth of what councils lost from central government under austerity.

Any Labour MP who falls for this bribe or for the falsehood that the Tories care a jot for workers rights need their head feeling.

#PeoplesVote
https://t.co/ewqcmu2aB4"
1948,"In terms of jobs, living standards, public spending, workers rights; would all the Labour MPs supporting a Tory Brexit agree it is Remain Minus.

If not, where's your data?

@CarolineFlintMP @gareth_snell @GloriaDePiero @JohnMannMP @IanLaveryMP @lisanandy 
https://t.co/dD5Q8wWoE9"
1949,"Everything else is Remain minus, every Brexit deal shrinks the economy. Every one means less money for public spending, fewer jobs and lower rights.

Every Labour MP is a representative, not a delegate. Every Labour MP should vote against less for working people.

#PeoplesVote https://t.co/8et6p8jVgq"
1950,"The idea that May cares for workers rights is as far fetched as the idea Thatcher cared for coal mining and industrial areas.

Believing anything else would be selling Labour people down the river @CarolineFlintMP @KevinBarronMP @JohnMannMP @GloriaDePiero 
https://t.co/DAth40gZYC"
1951,@MichelleDewbs Because if a civil servant with the knowledge of all the benefits EU memberships gives us would not choose to Brexit. As a non-member there will surely be fewer jobs to go round in Whitehall.
1952,"The meer fear of ‘no deal’ Brexit has already moved 1/2 the car jobs in the country to other EU countries and if it actually happens, will probably leave us just Ginetta still manufacturing 60 cars a year in the U.K. 
#StopBrexitSaveDemocracy https://t.co/VXsn2mH1nI"
1953,"But as you might have noticed, we don't have a steel or coal industry &amp; BREXIT is shutting down the car industry, the vacuum cleaner industry &amp; any other industry that imports parts or exports goods.
#StopBrexitSaveBritain 
The leave campaign cheated
#StopBrexitSaveDemocracy https://t.co/3p7fvhGERe"
1954,"@J_amesp @curiocat13 @MJGChase @PoetTaxiDriver @skisidjames @Jim_Cornelius @DmitryOpines @EmporersNewC @MrHickmott @donnyc1975 @DavidHenigUK @GeorgeMonbiot @NickCohen4 @MatthewdAncona @andrewrawnsley @faisalislam @mrjamesob @carolecadwalla @peterjukes Oh FFS. As I've said on many other threads - car industry is fucked. Last 3-4 years were critical in building supply chain in #EVs and we fucked it. Honda were all planned up to build new EV plant in Swindon, but got tired of govt bullshit. Cause: brexit 40% tories 60%"
1955,"@FanaticRealist She's a fucking clown. A good mate is a director of this company's UK arm and is having to make serious changes to his supply chains to prevent parts 'touching' UK ports post-brexit. 

Makes me fucking rage."
1956,Just bought a thousand brand new Brillo pads from a company in China. I’m getting them delivered via submarine. Then a friend is going to help me glue them to the tip of the Shard in central London next Friday  #london #theshard #brexit #businessmotivation
1957,"Members of the current cabinet are going to be the first ever to struggle with jobs post-parliament. What corporate in their right mind would take on a rag-tag &amp; bobtail of people who have taken us to the brink of disaster? Apart from JCB, Wetherspoons &amp; other Brexit nutters. https://t.co/3z9cPt9f0B"
1958,@BelTel That Top NI form has been selling off pieces of its company before the decline in the Economy. Now it wants to use Brexit as the perfect excuse for its decline
1959,"@pam_brundige Last one from uk for you resistors.

I work in the food industry.

One of the biggest issues with Brexit is being coerced into accepting US food standards. 

Its tragic you already have these.

https://t.co/1QiiqFnWkz"
1960,@MJGChase @curiocat13 @PoetTaxiDriver @skisidjames @Jim_Cornelius @DmitryOpines @EmporersNewC @MrHickmott @donnyc1975 @DavidHenigUK @GeorgeMonbiot @NickCohen4 @MatthewdAncona @andrewrawnsley @faisalislam @mrjamesob @J_amesp @carolecadwalla @peterjukes Or this company promoting brexit.... https://t.co/mxBQuXym0B
1961,@ColinCorbynista A jobs first Brexit? Sorry you are deluded
1962,"@rjonesindie Just as a little reminder Honda was planning to EXPAND at Swindon &amp; was in process of re-tooling for electric cars, but BREXIT changed all that so the car industry wasn't toast. Sorry to ruin the Brexiters fake agenda
https://t.co/K229mX5b31"
1963,@LBC @IainDale Every form of Brexit makes us worse off. No Deal is the worst of all scenarios as has been shown under government reports. Why would we do that to ourselves? Have we not seen enough jobs and investments leave the UK already?
1964,"@brexit_politics This is just idiotic yet typical. Our manufacturing industry was destroyed by the unions (who made us uncompetitive in a global marketplace). Oddly, we have our own control over our economy and it’s our fault we have this base, not the EUs. Next, simpletons."
1965,"@StandUp4Brexit @SimonClarkeMP Your constituents would like to hear what a no deal brexit really means for them. Now, in 5 years, in 10 years. What do WTO terms mean for them?

And when will you explain to them the reality of trade tariffs that equal the exodus of manufacturers, 10 jobs here, 100 jobs there..."
1966,@FrankieSk8 I hope after Brexit DOI start giving UK professionals the jobs again! Bring back Frankie 👍
1967,"@MichelleDewbs Only morons support brexit now .Wait until jobs are lost and the politicians blame leave voters,there's a load more animosity to come yet."
1968,"whereas the ""Centrists "" offer the young more years of the Status Quo of ever increasing inequality lower quality jobs  insecurity homelessness Food banks &amp; that Nulab/Tory favourite Eternal Austerity for the many with largesse for the few then you wonder why Brexit won https://t.co/ncCF1trgiq"
1969,@MichelleDewbs Conventional wisdom in my industry is #Brexit is a bad thing. I'm definitely undercover!
1970,#SocialistSunday The mantra that low Corporation tax protects and creates jobs is looking a little shaky in the wake of the absolute Omnishambles this TORY Brexit has become. Many more families forced onto UC. #GTTO https://t.co/e1lbZ4q5KB
1971,"2 hour delays for car traffic travelling tonight from #Calais to the UK. 

The French customs workers ‘work to rule’ industrial action is continuing, over pay + conditions, and worries of a lack of #Brexit preparedness."
1972,"ICYMI, a timely intervention on post- #brexit right-to-work by Kate Wyatt from #MMclient @lindsaysnews - here by @emmaj_new in today's @scotonsunday or #buyapaper and read it in the business/money section (p. 58) https://t.co/tDaXcZYPKY"
1973,"@BrianSJ3 @DavidHenigUK @FlipChartRick On both referendums GOVERNMENT policy was reject independence / Brexit. Therefore Civil Servants were required to support the policy in their jobs.

The CS is not 'neutral' in a referendum but that doesn't mean that it is not impartial."
1974,"We are in danger of thinking that only no-deal will bring greater austerity, diminished workers rights etc - thanks @Tim_Roache for reminding us that May's deal is guilty of all of these #peoplesvote  https://t.co/ABWBmViAav"
1975,"@hillt68 @Nigel_Farage When you have some facts, please do share. Love to hear how Brexit will improve our lives. Love to hear how all those jobs will return..please I’ll wait and listen"
1976,"@Eddystone506 @TedUrchin No no no, the Honda board absolutely didn’t consider Brexit as a reason for pulling out, neither did any of the other car companies. It’s always someone and something else’s fault, no jobs are being lost, there’s no loss of investment. It’s a nasty rumour that’s been made up. 🙄"
1977,"@ByDonkeys @Nigel_Farage @BorisJohnson @michaelgove @DavidDavisMP @Jacob_Rees_Mogg @Arron_banks Charlatans the lot of them, Wake and realise they are stealing your jobs and your futures. Not a single Brexit benefit planned or delivered."
1978,"I also agree, I’ve not heard one single argument in favour of Brexit. Not a single tangible benefit that isn’t cloaked in deluded ideology. Thousands of jobs lost, ongoing uncertainty, exposed right wing thuggery on our streets. It’s shameful. https://t.co/lKixdH5fnK"
1979,"@petertimmins3 @Digbylj Told you, it’s diesel, electric cars, change in the weather, moon and tide alignment, lay lines being altered, cosmic rays, anything but the truth..Brexit is a con, and people will lose their jobs."
1980,"@OwenPaterson @Conservatives @theresa_may No surprise the Tory chairmen should put their party’s interests first. 

They underestimate the damaging impact of a no-deal Brexit. Not their jobs at risk."
1981,"@nickreeves9876 @LenMcCluskey I don’t understand how Len could support Brexit, and then campaign to protect British manufacturing jobs.
I really must be missing something obvious..."
1982,"@SteveBakerHW @AllisterHeath If you think Brexit is not damaging the economy, you need to get out of London more, talk to some business leaders - and employees losing their jobs."
1983,"Out of approx 6 million Cos, CBI only has about 120k members, she does not speak for industry.
https://t.co/JeItbyXLle"
1984,"This was obvious. They also need to loose their jobs, like MPs

Racist and stupid – civil servant whistleblower ‘reveals what they really think of Brexit voters’

https://t.co/003PpEyD9K"
1985,"@Conservatives If you don’t deliver Brexit, the unemployment #s will rise with you lot loosing your jobs @ the next GE!"
1986,"@mickybar @Andym6769 @Jacob_Rees_Mogg So why did you move your hedge fund to Ireland? Will it be too difficult to trade your financials instruments in the UK after #Brexit? After you have cost thousands of honest hardworking people their jobs, livelihoods and even their homes. Disgrace to humanity #specialplaceinhell"
1987,"@PhilipHammondUK @ONS Has the number of foodbanks gone down? Fantasist lies coming from the Tories as per usual. Over 200K jobs confirmed to be leaving the UK because of #Brexit - Put that in your lies, damned lies and statistics. #PeoplesVoteMarch"
1988,@Channel4News @C4Ciaran Wow a journalist actually pushing to get a question answered. Well done. The Biased Broadcasting Company could learn alot from Channel 4#peoplesvotemarch #PeoplesVoteNow #PeoplesVote #BrexitShambles #RevokeArt50 #RevokeA50 #RevokeArticle50 #RevokeArticle50Now #Brexit #Remain
1989,"@TheEmanFifty @lloyd_rm + Migrant workers issue: In UK migrant workers are used to reduced wages. 
This has nothing to do with #EU law and everything to do with the WEAKNESS OF #UK EMPLOYMENT LAWS, which fail to ensure ALL working people get the going rate for the job. #Brexit https://t.co/rYDQnGwyk6"
1990,"No-deal Brexit 'could bring return of low-welfare egg imports'

Just don't buy them!
 https://t.co/U4RW7sQOzz"
1991,"I wonder if this march will go through Derby or Cowley where car manufacturers have just warned that the no deal Brexit that @Nigel_Farage wants may lead to more job losses at Toyota and Mini. 

Nigel really knows how to look after the workers! 

 https://t.co/7w1VNuSNUA"
1992,"Brexit: Public support for EU nationals being able to work in UK up sharply since 2016, ONS says 

 https://t.co/QZfeBC6nAw"
1993,"Brexit Latest: Government pays Eurotunnel £33m in compensation after secretly awarding contract to ferry company with no ferries, no experience and T&amp;C nicked from a pizza delivery company. 

Strong &amp; Stable Government
 https://t.co/LJpCm1bGOy"
1994,"HONDA: Company reveals it invested in electric car production in Swindon before pulling the plug

More evidence that the decision to shut Swindon was not linked to global trends, but also due to Brexit. But we already knew that.

 https://t.co/GfJyuKBlI9"
1995,"Repeat this in Swindon, Cowley or Derby where car workers have lost jobs or would, if the country followed you into a no deal Brexit. They'll be out of work with their homes at risk, what about you @Nigel_Farage? You'll still be earning hundreds of thousands. Hypocrite. https://t.co/NCa8bJJFAB"
1996,"@GeoffreyHealey Can't ignore 'coulds'

""Sadly this ***could*** threaten not just Honda’s jobs and investment, but thousands of other jobs in their supply chain.""

https://t.co/0sXrhpZoy9"
1997,"BBC News - Toyota and BMW warn no-deal Brexit could hit UK investment

BMW told Sky News it could consider moving production of its Mini from the UK in a no-deal scenario.

No Deal, No Problem, No jobs

https://t.co/wDjj007I9D"
1998,"@Econs4FreeTrade The UK is right &amp; the EU27 are wrong? It isn’t Grandstanding when it is consistently applying a principles we have known about for years. And as for being judged.....
https://t.co/Bg36qdlrY7"
1999,"@StandUp4Brexit @Telegraph Whereas endorsing no deal would be a devastating blow to the economy. And few things influence a voter more than losing their job and seeing their children's prospects of getting a worthwhile one fade. 
https://t.co/Bg36qdlrY7"
2000,"“British industry might suffer after Brexit, and British power will be reduced. But the gray zone — where politics meets money, where foreign money can become domestic, where assets can be hidden and connections concealed — will survive” https://t.co/0at9XfOhA7"
2001,@Jamken22 LOL I like you. Why do you think the porn industry will suffer under Brexit. Do try not to be too specific.
2002,@rjonesindie @dbkell The car industry is fucked long term. Brexit is convenient for shareholders. How many job losses have there been ? And how does this affect the majority of the country?
2003,"Sir Rocco Forte is indeed a rare specimen in the business world. A UK educated, British citizen of European descent who does business in the hospitality industry who doesn't worry about a no-deal Brexit. https://t.co/9zsCvCpxou"
2004,"@RCorbettMEP I wouldn’t hold my breath if I were you, I’d start looking for a job; MEP’s in the UK will no longer exist once Brexit happens; now there’s a few jobs we’ll be happy to lose."
2005,"Japanese &amp; German Automotive 

If you comprehend how much capital investment (£multi-BILLIONS) the Japanese &amp; Germans put into UK’s dying automotive industry from the late 1980s, you might understand my utter incredulity &amp; anger at car workers voting for Brexit. Lemming insanity."
2006,"@Sillyshib Yep, that sums up some car workers still. 
Mini production at Cowley is ”relatively” well protected, but there are still idiots who say Brexit has nothing to do with cancellation of investments or loss if jobs. 
They need a crash course in: Dummies Guide to Risk Management."
2007,"@BrexitResist @rien Top Tweet.  
He is a disgrace to the workers in the automotive industry by supporting Brexit. 
He has a Marxist agenda that is not conducive to job creation or supporting SME businesses. 
He pushed for Brexit and now you see the results.
The man is a self-serving idiot."
